COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_transit_stations,adjusted_stable_start_date,lost_transit_stations,decline_start,slope
Belgium,01/02/2020,18/03/2020,,12/03/2020,03/06/2020,31/03/2020,,,18/03/2020,21/04/2020,13/03/2020,,12/03/2020,11/05/2020,13/03/2020,,18/03/2020,13/03/2020,,18/03/2020,,,04/05/2020,,,18/03/2020,,22/04/2020,,20/03/2020,,,,,16/03/2020,35.285714286,19/03/2020,64.714285714,01MAR2020,-4
Belize,25/03/2020,05/04/2020,,,,,,,16/03/2020,,16/03/2020,01/04/2020,,11/04/2020,25/03/2020,07/04/2020,,16/03/2020,,26/03/2020,04/05/2020,,,,,28/02/2020,,,,,,,,,24/03/2020,32.642857143,02/04/2020,67.357142857,21MAR2020,-5.56547619
Benin,,19/03/2020,,,03/03/2020,,19/03/2020,,19/03/2020,20/04/2020,23/03/2020,,23/04/2020,19/05/2020,11/05/2020,,23/03/2020,19/03/2020,30/03/2020,,08/04/2020,,20/04/2020,,,05/04/2020,17/03/2020,,,,,,,,07/04/2020,75.916666667,08/04/2020,24.083333333,28MAR2020,-2.233766234
Bolivia,,20/03/2020,,27/03/2020,14/03/2020,14/03/2020,,,14/03/2020,,,17/03/2020,14/04/2020,09/04/2020,17/03/2020,17/03/2020,21/03/2020,27/03/2020,26/03/2020,16/03/2020,,,,,,,,,,,,,,,20/03/2020,19.785714286,23/03/2020,80.214285714,05MAR2020,-4.438672439
Bosnia and Herzegovina,19/03/2020,,,14/05/2020,18/03/2020,,12/03/2020,,12/03/2020,14/03/2020,12/03/2020,16/03/2020,12/03/2020,,15/03/2020,17/03/2020,09/04/2020,16/03/2020,,,30/04/2020,,27/03/2020,,,12/03/2020,15/03/2020,15/04/2020,,,14/05/2020,,,,18/03/2020,41.642857143,22/03/2020,58.357142857,08MAR2020,-5.173469388
Botswana,,24/03/2020,15/04/2020,16/04/2020,,,24/03/2020,,16/03/2020,28/04/2020,,02/04/2020,,,,,21/05/2020,03/04/2020,,02/04/2020,,,18/03/2020,,,20/03/2020,21/03/2020,,,,,,,,03/04/2020,20.428571429,03/04/2020,79.571428571,25MAR2020,-8.444444444
Brazil,18/03/2020,08/04/2020,,16/03/2020,,08/04/2020,20/03/2020,,,,08/04/2020,,22/04/2020,,08/04/2020,,08/04/2020,29/05/2020,,,01/06/2020,,,,,,,17/04/2020,,,,,,,20/03/2020,42.5,22/03/2020,57.5,06MAR2020,-4.448469388
Bulgaria,07/04/2020,17/03/2020,,12/03/2020,18/03/2020,17/03/2020,,,,06/04/2020,11/03/2020,13/03/2020,31/01/2020,,13/03/2020,,,15/05/2020,,20/03/2020,12/04/2020,15/04/2020,,,,,14/05/2020,,,21/03/2020,,,,,15/03/2020,44.928571429,21/03/2020,55.071428571,04MAR2020,-3.825630252
Burkina Faso,13/02/2020,21/03/2020,,,12/03/2020,21/03/2020,,,12/03/2020,25/03/2020,18/03/2020,26/03/2020,,,16/03/2020,21/03/2020,,06/04/2020,,,27/04/2020,,,21/03/2020,,,,,,12/03/2020,,,,,21/03/2020,59.142857143,26/03/2020,40.857142857,16MAR2020,-4.31038961
Cambodia,,,,10/04/2020,,,08/04/2020,,18/03/2020,,,,,,,,10/04/2020,09/03/2020,,18/03/2020,,,,,,,30/03/2020,,19/02/2020,,,,,,18/03/2020,51.142857143,24/03/2020,48.857142857,,
Cameroon,07/03/2020,18/03/2020,,07/03/2020,07/03/2020,18/03/2020,17/03/2020,,18/03/2020,20/04/2020,18/03/2020,,23/03/2020,,18/03/2020,18/03/2020,18/03/2020,30/03/2020,,,13/04/2020,,09/04/2020,,,12/03/2020,18/03/2020,,,,,,,,24/03/2020,79.571428571,28/03/2020,20.428571429,17MAR2020,-1.864226682
Canada,25/01/2020,14/03/2020,,03/05/2020,14/03/2020,18/03/2020,16/03/2020,,28/05/2020,15/04/2020,,,12/05/2020,,,,,14/04/2020,,,,,,,,13/03/2020,,,,,,,,,16/03/2020,43.214285714,22/03/2020,56.785714286,05MAR2020,-3.298319328
Chile,,15/03/2020,15/03/2020,,,,25/05/2020,,21/03/2020,,,19/03/2020,01/04/2020,,,22/03/2020,24/03/2020,25/03/2020,19/03/2020,26/03/2020,08/04/2020,,,,,08/04/2020,,,10/03/2020,,,30/03/2020,,,19/03/2020,43.428571429,22/03/2020,56.571428571,12MAR2020,-6.164285714
Colombia,,14/03/2020,,,,23/03/2020,16/03/2020,,20/03/2020,24/04/2020,16/03/2020,17/03/2020,27/03/2020,,,,24/03/2020,02/04/2020,12/05/2020,16/03/2020,04/04/2020,11/05/2020,29/04/2020,,,,,,16/03/2020,,,,,,20/03/2020,22.714285714,21/03/2020,77.285714286,09MAR2020,-7.166666667
Costa Rica,,15/05/2020,,,18/05/2020,30/03/2020,16/03/2020,,15/03/2020,01/05/2020,16/03/2020,16/03/2020,18/03/2020,,13/04/2020,,23/03/2020,14/03/2020,,,,,13/05/2020,,,12/05/2020,24/03/2020,,,,,,,,20/03/2020,43.071428571,23/03/2020,56.928571429,29FEB2020,-2.727272727
Croatia,,19/03/2020,,12/03/2020,,19/03/2020,24/02/2020,,19/03/2020,22/05/2020,16/03/2020,,19/03/2020,24/02/2020,19/03/2020,,23/03/2020,15/03/2020,,18/04/2020,,,,,,01/03/2020,,,20/04/2020,,,,,,17/03/2020,32.857142857,23/03/2020,67.142857143,08MAR2020,-5.580952381
Czech Republic,05/05/2020,16/03/2020,,11/05/2020,12/03/2020,,27/03/2020,18/03/2020,10/03/2020,14/04/2020,12/03/2020,12/03/2020,19/03/2020,30/03/2020,16/03/2020,,,19/03/2020,09/04/2020,,18/03/2020,,27/03/2020,,,,13/03/2020,26/03/2020,01/05/2020,02/04/2020,,,,,16/03/2020,42,19/03/2020,58,08MAR2020,-6.090909091
Denmark,31/03/2020,,12/03/2020,17/03/2020,,,18/03/2020,,18/03/2020,04/05/2020,11/03/2020,,16/03/2020,12/03/2020,13/03/2020,,,27/02/2020,,,,,22/03/2020,,,30/03/2020,,25/03/2020,,30/03/2020,,,,,12/03/2020,46.285714286,17/03/2020,53.714285714,07MAR2020,-6.436904762
Dominican Republic,,19/03/2020,,03/04/2020,29/02/2020,,28/04/2020,,19/03/2020,27/03/2020,19/03/2020,19/03/2020,22/04/2020,,,20/03/2020,19/03/2020,13/04/2020,,,,,27/04/2020,,,23/03/2020,,,,,,03/04/2020,,,19/03/2020,22.357142857,24/03/2020,77.642857143,28FEB2020,-3.295064935
Ecuador,,17/03/2020,,,,02/03/2020,,,02/04/2020,,02/03/2020,22/03/2020,05/03/2020,03/03/2020,17/03/2020,21/03/2020,02/03/2020,15/05/2020,25/03/2020,02/03/2020,17/03/2020,,,,,,,26/03/2020,22/05/2020,,,,,,17/03/2020,19.071428571,19/03/2020,80.928571429,12MAR2020,-11.28571429
Egypt,,,,13/04/2020,,19/03/2020,17/03/2020,,28/04/2020,,15/03/2020,28/04/2020,25/03/2020,,15/03/2020,25/03/2020,25/03/2020,29/03/2020,,,30/05/2020,,,,,,24/03/2020,,,,,,,,22/03/2020,42.214285714,25/03/2020,57.785714286,15MAR2020,-4.668772894
El Salvador,14/04/2020,17/03/2020,,07/05/2020,12/03/2020,,12/03/2020,,11/03/2020,10/05/2020,,14/03/2020,25/05/2020,12/04/2020,07/05/2020,07/05/2020,07/05/2020,,,11/03/2020,12/04/2020,,,,19/05/2020,,,,,,,,,,19/03/2020,35.785714286,22/03/2020,64.214285714,11MAR2020,-6.232683983
Estonia,16/03/2020,17/03/2020,12/03/2020,30/04/2020,11/03/2020,11/05/2020,12/03/2020,,12/03/2020,,12/03/2020,12/03/2020,12/03/2020,11/04/2020,16/03/2020,,14/03/2020,19/03/2020,30/03/2020,30/03/2020,,,14/05/2020,,,08/05/2020,17/03/2020,,,,,,,,16/03/2020,57.571428571,18/03/2020,42.428571429,08MAR2020,-6.9
Fiji,31/03/2020,,,01/04/2020,07/03/2020,24/03/2020,16/04/2020,,19/03/2020,,15/05/2020,16/04/2020,22/03/2020,24/03/2020,,30/03/2020,,27/03/2020,,,,,16/04/2020,,,03/04/2020,,,,,,,,,28/03/2020,43.071428571,03/04/2020,56.928571429,13MAR2020,-2.663265306
Finland,03/04/2020,19/03/2020,,16/03/2020,,,16/03/2020,,13/03/2020,15/04/2020,06/04/2020,17/03/2020,16/03/2020,,16/03/2020,,28/03/2020,15/03/2020,,,13/05/2020,,13/05/2020,,,14/05/2020,,,,27/03/2020,,,,,16/03/2020,48.857142857,20/03/2020,51.142857143,07MAR2020,-4.076923077
France,20/05/2020,18/03/2020,,13/02/2020,16/03/2020,,17/03/2020,21/04/2020,29/02/2020,17/04/2020,16/03/2020,24/03/2020,24/03/2020,06/04/2020,16/03/2020,,08/04/2020,12/03/2020,16/03/2020,17/03/2020,,,,20/03/2020,,18/03/2020,24/04/2020,,,,29/03/2020,,,,17/03/2020,19.428571429,21/03/2020,80.571428571,07MAR2020,-5.928571429
