COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_retail_and_recreation,adjusted_stable_start_date,lost_retail_and_recreation,decline_start,slope
Iraq,,16/03/2020,,,,17/03/2020,,,16/03/2020,,16/03/2020,,02/04/2020,,,17/03/2020,15/03/2020,02/04/2020,,11/03/2020,28/04/2020,,,,,,,,,16/03/2020,,16/03/2020,,,18/03/2020,34.785714286,21/03/2020,65.214285714,04MAR2020,-4.588235294
Ireland,,24/03/2020,,28/03/2020,,,08/06/2020,,12/03/2020,,13/03/2020,,24/03/2020,08/04/2020,16/03/2020,,28/03/2020,24/03/2020,,28/03/2020,,,17/04/2020,18/05/2020,,12/03/2020,28/03/2020,,,,,,28/03/2020,,17/03/2020,39.785714286,25/03/2020,60.214285714,01MAR2020,-2.715367965
Israel,11/02/2020,,13/04/2020,27/01/2020,,,17/02/2020,,15/03/2020,10/05/2020,15/03/2020,05/05/2020,04/02/2020,22/04/2020,07/04/2020,,07/04/2020,25/03/2020,,17/03/2020,19/04/2020,,03/06/2020,,25/03/2020,24/01/2020,,,,05/03/2020,,,,,17/03/2020,32.357142857,20/03/2020,67.642857143,07MAR2020,-5.538461538
Italy,27/01/2020,09/03/2020,,22/01/2020,23/01/2020,13/03/2020,04/05/2020,13/03/2020,09/03/2020,07/04/2020,14/04/2020,,14/03/2020,10/04/2020,25/02/2020,,23/03/2020,17/03/2020,20/03/2020,08/03/2020,26/04/2020,06/03/2020,03/04/2020,,23/03/2020,28/03/2020,,27/03/2020,10/03/2020,28/03/2020,,23/03/2020,,,11/03/2020,21.285714286,14/03/2020,78.714285714,04MAR2020,-7.6
Jamaica,,21/03/2020,,,,,16/03/2020,,,,24/03/2020,,02/05/2020,,17/03/2020,01/04/2020,,,,,,,,,,,,09/04/2020,,,,,,,31/03/2020,46.923076923,16/04/2020,53.076923077,09APR2020,-3.428571429
Japan,,25/05/2020,,20/04/2020,13/03/2020,,03/04/2020,,20/02/2020,,20/03/2020,16/04/2020,28/01/2020,08/05/2020,,,,,,08/05/2020,08/05/2020,,13/05/2020,,,14/02/2020,08/05/2020,,,,,,,,08/04/2020,68.5,12/04/2020,31.5,02APR2020,-2.006493506
Jordan,,17/03/2020,,,,17/03/2020,,,14/03/2020,,15/03/2020,18/03/2020,29/03/2020,,17/03/2020,21/03/2020,26/03/2020,,18/03/2020,18/03/2020,,,,,09/04/2020,,,,,,,,,,04/04/2020,27.214285714,21/03/2020,72.785714286,20MAR2020,-58
Kazakhstan,18/03/2020,,,06/05/2020,,,,,,04/05/2020,,16/03/2020,19/03/2020,,,,,,03/04/2020,11/05/2020,27/04/2020,,28/05/2020,,,,,,,,,,,,23/03/2020,54,30/03/2020,46,13MAR2020,-3.120702827
Kenya,15/03/2020,17/05/2020,09/05/2020,31/03/2020,,25/03/2020,23/03/2020,,03/03/2020,06/04/2020,15/03/2020,,02/04/2020,15/04/2020,22/03/2020,27/03/2020,06/04/2020,25/03/2020,,09/04/2020,,,07/04/2020,05/04/2020,,06/03/2020,,,,,29/04/2020,,,,24/03/2020,62.428571429,27/03/2020,37.571428571,13MAR2020,-3.357142857
Kuwait,04/04/2020,11/03/2020,,,17/05/2020,13/03/2020,24/03/2020,,18/03/2020,20/04/2020,26/02/2020,,08/03/2020,03/04/2020,13/03/2020,24/04/2020,,01/04/2020,13/05/2020,10/05/2020,18/05/2020,,,,06/04/2020,,13/03/2020,16/04/2020,,,,,,,22/03/2020,41.142857143,22/03/2020,58.857142857,11MAR2020,-5.262987013
